SA1_internal_2021	MotorVehicles.min	occupied_private_dwellings
53	0	5
53	1	48
53	2	66
53	3	19
53	4	18
54	1	3
54	3	5
55	0	3
55	1	141
55	2	64
55	3	7
55	4	3
56		5
56	0	10
56	1	72
56	2	32
57	0	3
57	1	42
57	2	51
57	3	13
57	4	3
58		5
58	0	16
58	1	107
58	2	39
58	3	15
58	4	4
59	0	26
59	1	129
59	2	56
59	3	6
59	4	7
60	0	6
60	1	48
60	2	14
60	3	7
61	1	17
61	2	50
61	3	25
61	4	28
62	1	31
62	2	41
62	3	28
62	4	20
63		4
63	1	37
63	2	53
63	3	14
63	4	4
64		5
64	0	37
64	1	169
64	2	40
64	3	13
64	4	8
65	0	8
65	1	64
65	2	32
66		10
66	0	23
66	1	113
66	2	76
66	3	10
66	4	9
67	0	3
67	1	50
67	2	45
67	3	30
67	4	17
68		3
68	0	6
68	1	107
68	2	62
68	3	17
68	4	4
70	1	22
70	2	14
70	3	5
72	1	7
72	2	22
72	3	6
72	4	14
73		4
73	0	24
73	1	214
73	2	85
73	3	14
73	4	4
74	1	38
74	2	76
74	3	24
74	4	12
75		3
75	0	18
75	1	130
75	2	83
75	3	21
75	4	10
76	1	24
76	2	37
76	3	10
76	4	3
77	1	4
77	2	36
77	3	16
77	4	13
78	1	23
78	2	90
78	3	35
78	4	22
79	1	11
79	2	53
79	3	27
79	4	20
80	1	9
80	2	45
80	3	22
80	4	19
81	1	10
81	2	61
81	3	31
81	4	21
82	1	17
82	2	32
82	3	15
82	4	10
83		3
83	0	3
83	1	47
83	2	72
83	3	27
83	4	10
84	1	18
84	2	101
84	3	51
84	4	56
85	0	6
85	1	41
85	2	65
85	3	30
85	4	18
86	1	25
86	2	101
86	3	37
86	4	31
87	1	31
87	2	50
87	3	24
87	4	11
88	1	37
88	2	90
88	3	28
88	4	22
89	1	25
89	2	76
89	3	34
89	4	28
90	1	60
90	2	84
90	3	21
90	4	13
91	1	28
91	2	55
91	3	19
91	4	10
92	1	8
92	2	7
92	3	6
92	4	3
93	1	64
93	2	73
93	3	32
93	4	21
94		8
94	0	17
94	1	124
94	2	99
94	3	16
94	4	15
95	0	4
95	1	44
95	2	70
95	3	32
95	4	8
96	1	19
96	2	58
96	3	13
96	4	13
97	1	45
97	2	77
97	3	38
97	4	17
98		3
98	0	4
98	1	87
98	2	86
98	3	30
98	4	8
99	1	38
99	2	77
99	3	43
99	4	19
102	1	13
102	2	52
102	3	37
102	4	22
103	0	8
103	1	48
103	2	68
103	3	19
103	4	17
104	0	13
104	1	44
104	2	58
104	3	16
104	4	15
105	0	12
105	1	26
105	2	21
105	3	6
105	4	8
106	0	4
106	1	22
106	2	50
106	3	26
106	4	11
107	1	19
107	2	69
107	3	40
107	4	26
108	1	61
108	2	82
108	3	16
108	4	3
109	1	14
109	2	73
109	3	11
109	4	5
110		3
110	1	36
110	2	108
110	3	31
110	4	11
111	1	16
111	2	64
111	3	12
111	4	5
112	1	20
112	2	87
112	3	19
112	4	12
113	1	10
113	2	79
113	3	20
113	4	7
114	1	42
114	2	83
114	3	16
114	4	4
115	1	17
115	2	48
115	3	16
115	4	5
116	1	13
116	2	45
116	3	12
116	4	6
117	1	29
117	2	79
117	3	12
117	4	3
118	1	15
118	2	74
118	3	20
118	4	10
119	1	13
119	2	65
119	3	22
119	4	10
120	1	20
120	2	100
120	3	17
120	4	8
121		4
121	1	28
121	2	100
121	3	17
121	4	9
122	1	18
122	2	95
122	3	26
122	4	14
123	1	14
123	2	42
123	3	27
123	4	17
124		4
124	1	9
124	2	25
124	3	14
124	4	20
125	1	12
125	2	26
125	3	10
125	4	21
126		3
126	1	23
126	2	48
126	3	35
126	4	23
127	1	15
127	2	46
127	3	21
127	4	24
128	1	18
128	2	66
128	3	30
128	4	27
129		3
129	1	32
129	2	67
129	3	34
129	4	27
130	1	19
130	2	62
130	3	47
130	4	25
131		3
131	1	23
131	2	94
131	3	35
131	4	17
132	1	16
132	2	53
132	3	29
132	4	23
133	1	42
133	2	52
133	3	22
133	4	23
134	1	10
134	2	33
134	3	23
134	4	21
135	0	5
135	1	11
135	2	47
135	3	40
135	4	27
136	1	14
136	2	23
136	3	7
136	4	14
137	0	5
137	1	14
137	2	37
137	3	20
137	4	24
138	1	8
138	2	30
138	3	20
138	4	27
139	1	8
139	2	30
139	3	21
139	4	22
140	1	9
140	2	64
140	3	44
140	4	40
141	1	21
141	2	71
141	3	25
141	4	26
142	1	24
142	2	46
142	3	20
142	4	17
143		3
143	1	10
143	2	17
143	3	14
143	4	10
144	1	23
144	2	53
144	3	22
144	4	32
145		4
145	1	6
145	2	28
145	3	4
146	0	4
146	1	43
146	2	110
146	3	41
146	4	24
147	1	16
147	2	41
147	3	29
147	4	12
148	0	6
148	1	76
148	2	93
148	3	30
148	4	19
149	1	16
149	2	49
149	3	21
149	4	5
150	1	3
150	2	18
150	3	8
150	4	8
151	1	9
151	2	29
151	3	22
151	4	25
152		6
152	1	79
152	2	69
152	3	18
152	4	9
153	1	27
153	2	62
153	3	40
153	4	19
154	1	13
154	2	26
154	3	21
154	4	43
155		3
155	1	11
155	2	46
155	3	24
155	4	36
156	1	12
156	2	25
156	3	10
156	4	11
157	1	17
157	2	55
157	3	27
157	4	13
158		3
158	1	15
158	2	42
158	3	25
158	4	24
159	1	19
159	2	46
159	3	18
159	4	19
160	1	25
160	2	81
160	3	56
160	4	45
161	1	15
161	2	32
161	3	35
161	4	25
162		4
162	1	12
162	2	43
162	3	31
162	4	36
163	1	3
163	2	44
163	3	28
163	4	33
164	1	4
164	2	9
164	3	15
164	4	9
165	1	9
165	2	24
165	3	11
165	4	17
166		3
166	0	4
166	1	55
166	2	69
166	3	28
166	4	22
167	0	4
167	1	25
167	2	61
167	3	47
167	4	40
168	1	11
168	2	43
168	3	31
168	4	29
169		3
169	0	3
169	1	44
169	2	34
169	3	13
170		3
170	0	14
170	1	63
170	2	61
170	3	25
170	4	5
171	0	6
171	1	49
171	2	41
171	3	14
171	4	7
172	0	4
172	1	60
172	2	61
172	3	28
172	4	15
173	1	40
173	2	53
173	3	28
173	4	14
174		4
174	1	9
174	2	24
174	3	20
174	4	9
175		3
175	1	31
175	2	52
175	3	22
175	4	14
176	1	26
176	2	35
176	3	24
176	4	18
177	0	4
177	1	49
177	2	29
177	3	9
177	4	4
178	0	19
178	1	57
178	2	63
178	3	10
178	4	4
179	0	16
179	1	81
179	2	49
179	3	24
179	4	11
180		5
180	0	24
180	1	79
180	2	66
180	3	11
180	4	13
181		3
181	0	17
181	1	77
181	2	64
181	3	11
181	4	6
182		4
182	0	6
182	1	71
182	2	86
182	3	26
182	4	11
183	0	11
183	1	65
183	2	60
183	3	21
183	4	12
184	1	37
184	2	36
184	3	14
185	0	9
185	1	64
185	2	56
185	3	19
185	4	10
186		5
186	0	21
186	1	70
186	2	53
186	3	13
186	4	7
187		4
187	0	21
187	1	74
187	2	40
187	3	22
187	4	10
188	0	7
188	1	75
188	2	92
188	3	29
188	4	21
189	1	23
189	2	33
189	3	6
189	4	3
190	0	7
190	1	72
190	2	57
190	3	25
190	4	7
191	1	5
192		4
192	0	14
192	1	73
192	2	86
192	3	20
192	4	10
193	1	21
193	2	34
193	3	26
193	4	22
194		5
194	0	20
194	1	92
194	2	48
194	3	19
194	4	3
197	0	5
197	1	43
197	2	31
197	3	19
197	4	3
198	1	3
198	2	11
198	3	12
198	4	6
199	0	12
199	1	31
199	2	40
199	3	9
199	4	5
200	1	16
200	2	24
200	3	13
200	4	4
201	1	10
201	2	18
201	3	10
201	4	8
202		4
202	0	3
202	1	28
202	2	34
202	3	15
202	4	21
203	1	11
203	2	25
203	3	8
203	4	7
204		3
204	1	14
204	2	28
204	3	17
204	4	4
205	1	21
205	2	46
205	3	33
205	4	17
206	0	7
206	1	29
206	2	45
206	3	25
206	4	12
207	1	10
207	2	27
207	3	8
207	4	6
208		4
208	1	20
208	2	55
208	3	26
208	4	29
209		6
209	1	18
209	2	22
209	3	19
209	4	19
210	1	22
210	2	34
210	3	21
210	4	9
211	1	6
211	2	14
211	3	13
211	4	7
212		3
212	0	3
212	1	24
212	2	32
212	3	18
212	4	14
214	0	10
214	1	74
214	2	64
214	3	30
214	4	13
215	1	36
215	2	56
215	3	19
215	4	27
216	1	32
216	2	34
216	3	25
216	4	12
217		6
217	1	23
217	2	10
217	3	13
217	4	13
218		3
218	1	35
218	2	96
218	3	41
218	4	46
219	1	24
219	2	37
219	3	26
219	4	11
220	1	15
220	2	53
220	3	18
220	4	19
221		10
221	0	10
221	1	38
221	2	20
221	3	6
221	4	5
222	0	4
222	1	3
222	2	3
223		3
223	0	3
223	1	35
223	2	54
223	3	31
223	4	27
224	1	40
224	2	57
224	3	26
224	4	22
225	0	3
225	1	90
225	2	84
225	3	23
225	4	16
226		3
226	0	10
226	1	41
226	2	57
226	3	22
226	4	27
227		7
227	1	65
227	2	89
227	3	32
227	4	21
228	0	3
228	1	16
228	2	23
228	3	14
228	4	12
229	1	9
229	2	11
229	3	3
229	4	5
230	0	5
230	1	10
230	2	45
230	3	8
230	4	4
231		3
231	0	7
231	1	46
231	2	93
231	3	40
231	4	26
233	0	3
233	1	32
233	2	58
233	3	38
233	4	28
234		3
234	1	25
234	2	39
234	3	15
234	4	17
235	1	38
235	2	74
235	3	44
235	4	40
236		7
236	0	14
236	1	96
236	2	71
236	3	32
236	4	9
237	0	6
237	1	33
237	2	32
237	3	5
237	4	6
238	0	18
238	1	88
238	2	63
238	3	13
238	4	3
239		4
239	0	24
239	1	102
239	2	47
239	3	6
239	4	3
240		6
240	0	18
240	1	69
240	2	20
240	3	5
241		4
241	0	51
241	1	128
241	2	36
241	3	6
241	4	10
243	0	11
243	1	60
243	2	67
243	3	30
243	4	8
244		6
244	0	4
244	1	75
244	2	158
244	3	48
244	4	24
245	1	85
245	2	101
245	3	29
245	4	7
246	0	3
246	1	35
246	2	63
246	3	38
246	4	24
247	0	10
247	1	70
247	2	60
247	3	18
247	4	8
250	0	10
250	1	77
250	2	75
250	3	27
250	4	10
251		4
251	0	15
251	1	89
251	2	43
251	3	9
251	4	3
252	0	27
252	1	113
252	2	61
252	3	8
252	4	10
253		3
253	1	76
253	2	55
253	3	16
253	4	10
254		3
254	1	44
254	2	31
254	3	18
254	4	14
255		8
255	0	4
255	1	57
255	2	56
255	3	15
255	4	6
256		5
256	0	7
256	1	86
256	2	78
256	3	20
256	4	14
257		4
257	1	63
257	2	68
257	3	16
257	4	8
258	1	4
258	2	23
258	3	4
258	4	4
259	1	41
259	2	53
259	3	17
259	4	12
260		4
260	0	3
260	1	43
260	2	55
260	3	14
260	4	3
261	1	17
261	2	52
261	3	40
261	4	18
262	1	57
262	2	21
262	3	6
262	4	9
263	1	16
263	2	49
263	3	15
263	4	19
264	0	12
264	1	97
264	2	73
264	3	11
264	4	12
265		5
265	0	9
265	1	76
265	2	76
265	3	20
265	4	5
266		12
266	0	13
266	1	98
266	2	72
266	3	14
266	4	11
267	0	4
267	1	57
267	2	44
267	4	5
268		4
268	1	46
268	2	51
268	3	14
268	4	5
269		3
269	0	6
269	1	84
269	2	93
269	3	20
269	4	9
270		4
270	0	11
270	1	114
270	2	57
270	3	21
270	4	9
271	1	26
271	2	50
271	3	12
271	4	12
272		4
272	0	3
272	1	35
272	2	45
272	3	22
272	4	3
273	0	3
273	1	62
273	2	79
273	3	16
273	4	10
274		5
274	0	8
274	1	61
274	2	66
274	3	14
274	4	3
275		3
275	0	5
275	1	97
275	2	125
275	3	48
275	4	13
276	0	7
276	1	85
276	2	94
276	3	20
276	4	7
277		3
277	0	3
277	1	74
277	2	88
277	3	22
277	4	14
278		4
278	0	12
278	1	54
278	2	38
278	3	18
278	4	4
279	1	31
279	2	35
279	3	13
279	4	3
280		3
280	0	9
280	1	76
280	2	62
280	3	17
280	4	3
281		6
281	0	37
281	1	113
281	2	52
281	3	4
281	4	5
283		5
283	0	31
283	1	92
283	2	45
283	3	23
284		5
284	0	48
284	1	94
284	2	58
284	3	7
285		7
285	0	32
285	1	55
285	2	35
285	3	11
285	4	7
286	0	16
286	1	67
286	2	58
286	3	23
286	4	3
287		4
287	0	14
287	1	59
287	2	53
287	3	17
287	4	5
288		4
288	0	3
288	1	69
288	2	71
288	3	31
288	4	12
289	0	4
289	1	55
289	2	46
289	3	16
289	4	4
290	0	3
290	1	60
290	2	79
290	3	11
290	4	8
291		3
291	0	3
291	1	56
291	2	78
291	3	12
291	4	6
292		5
292	0	4
292	1	81
292	2	72
292	3	18
293	0	3
293	1	13
293	2	35
293	3	14
293	4	19
294		3
294	1	56
294	2	122
294	3	57
294	4	37
295	1	27
295	2	47
295	3	24
295	4	9
296		4
296	1	35
296	2	50
296	3	20
296	4	9
297		4
297	0	6
297	1	59
297	2	42
297	3	8
298	1	41
298	2	65
298	3	26
298	4	5
299		4
299	1	44
299	2	77
299	3	28
299	4	19
300	0	14
300	1	72
300	2	48
300	3	14
300	4	7
301		5
301	0	8
301	1	75
301	2	44
301	3	6
301	4	5
302	1	11
302	2	22
302	3	12
302	4	11
303		5
303	0	3
303	1	75
303	2	128
303	3	37
303	4	17
304		4
304	0	4
304	1	45
304	2	39
304	3	13
304	4	4
306	1	12
306	2	6
306	4	3
307	1	7
307	2	22
307	3	13
308	0	5
308	1	9
308	2	16
308	3	6
308	4	6
309		3
309	1	27
309	2	76
309	3	37
309	4	19
310	1	43
310	2	95
310	3	49
310	4	28
311	1	49
311	2	74
311	3	31
311	4	11
312		8
312	1	44
312	2	63
312	3	25
312	4	4
313		4
313	0	6
313	1	37
313	2	43
313	3	20
313	4	9
314	0	8
314	1	52
314	2	50
314	3	23
314	4	8
315	1	36
315	2	48
315	3	30
315	4	23
316	0	5
316	1	23
316	2	62
316	3	24
316	4	13
319		4
319	1	34
319	2	56
319	3	18
319	4	24
321	0	5
321	1	25
321	2	24
321	3	7
321	4	4
322	1	22
322	2	32
322	3	16
322	4	9
323	1	19
323	2	30
323	3	19
323	4	3
324	0	4
324	1	26
324	2	48
324	3	22
324	4	18
325		4
325	0	3
325	1	23
325	2	42
325	3	15
325	4	17
326	0	6
326	1	34
326	2	65
326	3	44
326	4	22
327	1	50
327	2	68
327	3	20
327	4	10
328		6
328	1	64
328	2	103
328	3	44
328	4	19
330		6
330	0	4
330	1	47
330	2	48
330	3	19
330	4	15
331	0	3
331	1	25
331	2	46
331	3	29
331	4	14
332	1	28
332	2	53
332	3	9
332	4	11
333		4
333	1	56
333	2	67
333	3	15
333	4	9
334	1	15
334	2	27
334	3	19
334	4	12
335	1	22
335	2	48
335	3	24
335	4	8
336	1	47
336	2	83
336	3	37
336	4	22
337	1	31
337	2	61
337	3	25
337	4	23
338	0	11
338	1	71
338	2	61
338	3	17
338	4	11
339	1	11
339	2	35
339	3	16
339	4	10
340		3
340	0	3
340	1	41
340	2	31
340	3	12
340	4	9
341		5
341	1	33
341	2	38
341	3	9
341	4	7
342		10
342	0	15
342	1	149
342	2	102
342	3	24
342	4	9
343		4
343	0	3
343	1	70
343	2	105
343	3	34
343	4	13
344		8
344	0	14
344	1	132
344	2	94
344	3	21
344	4	13
345		9
345	0	3
345	1	73
345	2	99
345	3	48
345	4	18
346	1	54
346	2	70
346	3	23
346	4	21
347	0	4
347	1	68
347	2	84
347	3	18
347	4	10
348	2	3
348	4	9
349	2	5
349	4	4
350		5
350	0	22
350	1	73
350	2	60
350	3	16
350	4	6
351	0	5
351	1	65
351	2	70
351	3	12
351	4	12
352		3
352	1	24
352	2	73
352	3	21
352	4	11
353	1	34
353	2	25
353	3	16
353	4	10
354		5
354	0	31
354	1	72
354	2	64
354	3	26
354	4	10
355	0	7
355	1	41
355	2	41
355	3	15
356		4
356	0	12
356	1	76
356	2	37
356	3	13
356	4	4
357		12
357	0	20
357	1	99
357	2	67
357	3	20
357	4	8
358		4
358	0	7
358	1	58
358	2	48
358	3	16
358	4	3
360	1	27
360	2	47
360	3	14
360	4	18
361	1	27
361	2	47
361	3	27
361	4	18
362		3
362	0	5
362	1	27
362	2	24
362	3	14
362	4	11
363		3
363	1	30
363	2	58
363	3	32
363	4	25
364		8
364	1	20
364	2	47
364	3	23
364	4	11
365		3
365	1	29
365	2	36
365	3	16
365	4	13
366		3
366	1	26
366	2	48
366	3	25
366	4	22
367	0	4
367	1	40
367	2	36
367	3	14
367	4	8
368	1	39
368	2	66
368	3	7
368	4	9
369	1	7
369	2	21
369	3	17
369	4	9
370		4
370	1	31
370	2	43
370	3	14
370	4	9
371	1	50
371	2	64
371	3	12
371	4	14
373	0	12
373	1	65
373	2	56
373	3	12
373	4	4
374		4
374	0	27
374	1	109
374	2	18
374	3	7
374	4	3
375		10
375	0	18
375	1	114
375	2	40
375	3	10
376		3
376	0	12
376	1	92
376	2	34
376	3	5
376	4	3
377	0	3
377	1	47
377	2	61
377	3	18
377	4	6
378		3
378	1	32
378	2	58
378	3	8
378	4	8
379	0	8
379	1	150
379	2	87
379	3	36
379	4	11
380	1	9
380	2	14
380	3	9
380	4	8
381		5
381	1	48
381	2	87
381	3	27
381	4	5
382	1	55
382	2	88
382	3	17
382	4	9
383		3
383	0	5
383	1	99
383	2	87
383	3	31
383	4	10
384	1	39
384	2	76
384	3	21
384	4	13
385	0	6
385	1	54
385	2	30
385	3	6
385	4	7
386	0	3
386	1	43
386	2	36
386	3	18
386	4	4
387	0	3
387	1	47
387	2	61
387	3	15
387	4	6
388	0	4
388	1	70
388	2	125
388	3	30
388	4	11
389	0	3
389	1	30
389	2	38
389	3	10
389	4	6
390		5
390	0	6
390	1	139
390	2	86
390	3	23
390	4	10
391	0	6
391	1	78
391	2	46
391	3	8
391	4	7
392	1	56
392	2	71
392	3	17
392	4	8
393	1	15
393	2	35
393	3	15
393	4	11
394	1	19
394	2	54
394	3	25
394	4	19
395		3
395	0	3
395	1	98
395	2	78
395	3	21
395	4	17
396	0	5
396	1	73
396	2	132
396	3	34
396	4	12
397	1	79
397	2	90
397	3	28
397	4	15
398	0	25
398	1	132
398	2	92
398	3	23
398	4	8
399		3
399	0	12
399	1	84
399	2	46
399	3	20
399	4	5
400		3
400	0	7
400	1	47
400	2	68
400	3	23
400	4	12
402	0	6
402	1	72
402	2	52
402	3	12
402	4	7
403		3
403	0	9
403	1	103
403	2	96
403	3	22
403	4	11
404		5
404	0	4
404	1	63
404	2	75
404	3	19
404	4	4
405		3
405	0	8
405	1	70
405	2	63
405	3	14
405	4	3
406		3
406	0	9
406	1	125
406	2	104
406	3	16
406	4	4
407	0	3
407	1	34
407	2	58
407	3	16
407	4	22
408	0	6
408	1	67
408	2	66
408	3	27
408	4	15
409		5
409	0	18
409	1	65
409	2	43
409	3	17
409	4	5
410		5
410	0	21
410	1	74
410	2	53
410	3	18
410	4	8
411		3
411	0	3
411	1	40
411	2	21
411	3	9
411	4	6
412	1	17
412	2	36
412	3	5
412	4	14
413		5
413	0	6
413	1	43
413	2	40
413	3	21
413	4	22
414	0	6
414	1	106
414	2	89
414	3	37
414	4	20
415		4
415	1	52
415	2	76
415	3	23
415	4	20
416	1	15
416	2	39
416	3	15
416	4	8
417		5
417	1	30
417	2	42
417	3	15
417	4	13
418	1	35
418	2	74
418	3	25
418	4	10
419		4
419	1	23
419	2	59
419	3	32
419	4	21
420		3
420	0	6
420	1	53
420	2	38
420	3	22
420	4	8
421	0	3
421	1	58
421	2	48
421	3	13
421	4	16
422	1	20
422	2	53
422	3	14
422	4	18
423		4
423	0	25
423	1	47
423	2	47
423	3	10
423	4	5
424	0	6
424	1	30
424	2	48
424	3	9
424	4	8
425	1	3
425	2	5
425	3	7
425	4	3
426		3
426	0	6
426	1	107
426	2	101
426	3	25
426	4	17
427	1	10
427	2	8
427	3	4
427	4	3
428		3
428	0	3
428	1	44
428	2	55
428	3	7
428	4	3
429	0	20
429	1	83
429	2	46
429	3	10
429	4	4
430	1	23
430	2	46
430	3	15
430	4	8
431		3
431	0	15
431	1	67
431	2	39
431	3	10
431	4	6
432		5
432	0	21
432	1	88
432	2	59
432	3	15
432	4	4
433	0	11
433	1	97
433	2	73
433	3	24
434		5
434	0	9
434	1	105
434	2	88
434	3	29
434	4	3
435		6
435	0	7
435	1	63
435	2	49
435	3	18
435	4	4
436		3
436	0	4
436	1	85
436	2	132
436	3	31
436	4	8
437	1	24
437	2	54
437	3	19
437	4	5
439	1	55
439	2	80
439	3	35
439	4	18
440		3
440	1	39
440	2	79
440	3	34
440	4	30
442	1	4
442	2	5
442	4	4
444		5
444	0	10
444	1	77
444	2	67
444	3	19
444	4	7
445	1	45
445	2	62
445	3	22
445	4	12
446		9
446	0	8
446	1	144
446	2	126
446	3	21
446	4	6
447	0	6
447	1	14
447	2	9
447	3	3
448	1	50
448	2	54
448	3	10
448	4	7
449		3
449	1	52
449	2	77
449	3	19
449	4	9
450		7
450	0	8
450	1	59
450	2	62
450	3	5
451	1	44
451	2	49
451	3	20
451	4	3
452		3
452	0	17
452	1	114
452	2	42
452	3	9
452	4	3
453		5
453	0	23
453	1	154
453	2	83
453	3	16
453	4	9
454	2	9
454	4	4
455	0	15
455	1	78
455	2	55
455	3	16
455	4	5
456	0	10
456	1	71
456	2	59
456	3	16
456	4	4
457		5
457	0	9
457	1	47
457	2	63
457	3	21
457	4	9
458	1	6
458	2	24
458	3	22
458	4	12
459		5
459	0	11
459	1	31
459	2	33
459	3	18
459	4	9
460	0	17
460	1	55
460	2	27
460	3	13
461		4
461	0	24
461	1	109
461	2	64
461	3	18
461	4	14
462		6
462	0	16
462	1	53
462	2	42
462	3	21
462	4	9
463	0	9
463	1	42
463	2	49
463	3	13
463	4	4
464	0	20
464	1	36
465		3
465	0	21
465	1	51
465	2	26
465	3	14
466		4
466	0	10
466	1	36
466	2	14
466	3	3
467		5
467	0	5
467	1	60
467	2	72
467	3	22
467	4	4
468		4
468	0	10
468	1	65
468	2	90
468	3	32
468	4	18
469		3
469	0	9
469	1	39
469	2	28
469	3	11
469	4	6
470	1	42
470	2	64
470	3	25
470	4	11
471		9
471	0	8
471	1	50
471	2	36
471	3	10
471	4	3
472	1	25
472	2	98
472	3	37
472	4	48
473	0	7
473	1	57
473	2	46
473	3	18
473	4	6
474	0	22
474	1	71
474	2	34
474	3	3
475	0	25
475	1	104
475	2	57
475	3	16
475	4	12
476		4
476	0	5
476	1	84
476	2	120
476	3	46
476	4	10
477	0	4
477	1	55
477	2	52
477	3	21
477	4	14
478	0	8
478	1	32
478	2	83
478	3	47
478	4	18
479	0	3
479	1	30
479	2	60
479	3	27
479	4	17
480	0	20
480	1	77
480	2	52
480	3	11
481		5
481	0	18
481	1	98
481	2	51
481	3	25
481	4	3
482	0	22
482	1	83
482	2	43
482	3	19
482	4	10
483	0	4
483	1	33
483	2	35
483	3	18
483	4	5
484	1	12
484	2	17
484	3	5
484	4	3
485		8
485	0	8
485	1	95
485	2	70
485	3	27
485	4	10
486	0	3
486	1	25
486	2	73
486	3	32
486	4	17
487		6
487	0	35
487	1	92
487	2	39
487	3	9
487	4	5
488		9
488	0	14
488	1	43
488	2	60
488	3	25
488	4	9
489	0	13
489	1	58
489	2	41
489	3	15
489	4	3
490		3
490	0	14
490	1	56
490	2	33
490	3	5
490	4	8
491		3
491	0	38
491	1	88
491	2	62
491	3	17
491	4	9
492		4
492	0	12
492	1	58
492	2	51
492	3	9
492	4	7
493		12
493	0	17
493	1	67
493	2	51
493	3	17
493	4	11
494	0	7
494	1	45
494	2	36
494	3	17
494	4	10
495		8
495	0	11
495	1	51
495	2	32
495	3	11
495	4	23
496		3
496	0	9
496	1	34
496	2	28
496	3	16
496	4	6
497	1	30
497	2	37
497	3	9
497	4	3
498		5
498	0	14
498	1	83
498	2	69
498	3	21
498	4	12
499	0	3
499	1	48
499	2	65
499	3	26
499	4	17
500	0	17
500	1	68
500	2	89
500	3	25
500	4	7
501	0	7
501	1	49
501	2	41
501	3	13
501	4	10
502	1	16
502	2	48
502	3	18
502	4	19
503		3
503	0	11
503	1	69
503	2	59
503	3	14
503	4	8
504		3
504	0	16
504	1	59
504	2	24
504	3	4
505	1	12
505	2	12
505	3	9
505	4	5
506	0	10
506	1	77
506	2	59
506	3	25
506	4	4
507	0	10
507	1	46
507	2	60
507	3	21
507	4	6
508		4
508	0	7
508	1	60
508	2	30
508	3	17
508	4	19
509	0	4
509	1	56
509	2	60
509	3	12
509	4	4
510		10
510	0	33
510	1	79
510	2	38
510	3	20
510	4	3
511	1	22
511	2	36
511	3	24
511	4	14
512	0	19
512	1	82
512	2	53
512	3	14
512	4	11
513		6
513	0	35
513	1	92
513	2	44
513	3	22
513	4	8
514	2	5
515	0	9
515	1	53
515	2	47
515	3	21
515	4	6
